ID,Sample_Name,Population,Type,VCF_name
3205,3205-F2,1633,F2,3205-F2-Zeta-E1
3206,3206-F2,1633,F2,3206-F2-Zeta-F1
3207,3207-F2,1633,F2,3207-F2-Zeta-G1
3208,3208-F2,1633,F2,3208-F2-Zeta-H1
3209,3209-F2,1633,F2,3209-F2-Zeta-A2
3210,3210-F2,1633,F2,3210-F2-Zeta-B2
3211,3211-F2,1633,F2,3211-F2-Zeta-C2
3212,3212-F2,1633,F2,3212-F2-Zeta-D2
3213,3213-F2,1633,F2,3213-F2-Zeta-E2
3214,3214-F2,1633,F2,3214-F2-Zeta-F2
3215,3215-F2,1633,F2,3215-F2-Zeta-G2
3216,3216-F2,1633,F2,3216-F2-Zeta-H2
3217,3217-F2,1633,F2,3217-F2-Zeta-A3
3218,3218-F2,1633,F2,3218-F2-Zeta-B3
3219,3219-F2,1633,F2,3219-F2-Zeta-C3
3220,3220-F2,1633,F2,3220-F2-Zeta-D3
3221,3221-F2,1633,F2,3221-F2-Zeta-E3
3222,3222-F2,1633,F2,3222-F2-Zeta-F3
3223,3223-F2,1633,F2,3223-F2-Zeta-G3
3224,3224-F2,1633,F2,3224-F2-Zeta-H3
3225,3225-F2,1633,F2,3225-F2-Zeta-A4
3226,3226-F2,1633,F2,3226-F2-Zeta-B4
3227,3227-F2,1633,F2,3227-F2-Zeta-C4
3228,3228-F2,1633,F2,3228-F2-Zeta-D4
3229,3229-F2,1633,F2,3229-F2-Zeta-E4
3230,3230-F2,1633,F2,3230-F2-Zeta-F4
3231,3231-F2,1633,F2,3231-F2-Zeta-G4
3232,3232-F2,1633,F2,3232-F2-Zeta-H4
3233,3233-F2,1633,F2,3233-F2-Zeta-A5
3234,3234-F2,1633,F2,3234-F2-Zeta-B5
3235,3235-F2,1633,F2,3235-F2-Zeta-C5
3236,3236-F2,1633,F2,3236-F2-Zeta-D5
3237,3237-F2,1633,F2,3237-F2-Zeta-E5
3238,3238-F2,1633,F2,3238-F2-Zeta-F5
3239,3239-F2,1633,F2,3239-F2-Zeta-G5
3240,3240-F2,1633,F2,3240-F2-Zeta-H5
3241,3241-F2,1633,F2,3241-F2-Zeta-A6
3242,3242-F2,1633,F2,3242-F2-Zeta-B6
3243,3243-F2,1633,F2,3243-F2-Zeta-C6
3244,3244-F2,1633,F2,3244-F2-Zeta-D6
3245,3245-F2,1633,F2,3245-F2-Zeta-E6
3246,3246-F2,1633,F2,3246-F2-Zeta-F6
3247,3247-F2,1633,F2,3247-F2-Zeta-G6
3248,3248-F2,1633,F2,3248-F2-Zeta-H6
3249,3249-F2,1633,F2,3249-F2-Zeta-A7
3250,3250-F2,1633,F2,3250-F2-Zeta-B7
3251,3251-F2,1633,F2,3251-F2-Zeta-C7
3252,3252-F2,1633,F2,3252-F2-Zeta-D7
3253,3253-F2,1633,F2,3253-F2-Zeta-E7
3254,3254-F2,1633,F2,3254-F2-Zeta-F7
3255,3255-F2,1633,F2,3255-F2-Zeta-G7
3256,3256-F2,1633,F2,3256-F2-Zeta-H7
3257,3257-F2,1633,F2,3257-F2-Zeta-A8
3258,3258-F2,1633,F2,3258-F2-Zeta-B8
3259,3259-F2,1633,F2,3259-F2-Zeta-C8
3260,3260-F2,1633,F2,3260-F2-Zeta-D8
3261,3261-F2,1633,F2,3261-F2-Zeta-E8
3262,3262-F2,1633,F2,3262-F2-Zeta-F8
3263,3263-F2,1633,F2,3263-F2-Zeta-G8
3264,3264-F2,1633,F2,3264-F2-Zeta-H8
3265,3265-F2,1633,F2,3265-F2-Zeta-A9
3266,3266-F2,1633,F2,3266-F2-Zeta-B9
3267,3267-F2,1633,F2,3267-F2-Zeta-C9
3268,3268-F2,1633,F2,3268-F2-Zeta-D9
3269,3269-F2,1633,F2,3269-F2-Zeta-E9
3270,3270-F2,1633,F2,3270-F2-Zeta-F9
3271,3271-F2,1633,F2,3271-F2-Zeta-G9
3272,3272-F2,1633,F2,3272-F2-Zeta-H9
3273,3273-F2,1633,F2,3273-F2-Zeta-A10
3274,3274-F2,1633,F2,3274-F2-Zeta-B10
3275,3275-F2,1633,F2,3275-F2-Zeta-C10
3276,3276-F2,1633,F2,3276-F2-Zeta-D10
3277,3277-F2,1633,F2,3277-F2-Zeta-E10
3278,3278-F2,1633,F2,3278-F2-Zeta-F10
3279,3279-F2,1633,F2,3279-F2-Zeta-G10
3280,3280-F2,1633,F2,3280-F2-Zeta-H10
3281,3281-F2,1633,F2,3281-F2-Zeta-A11
3282,3282-F2,1633,F2,3282-F2-Zeta-B11
3283,3283-F2,1633,F2,3283-F2-Zeta-C11
3284,3284-F2,1633,F2,3284-F2-Zeta-D11
3285,3285-F2,1633,F2,3285-F2-Zeta-E11
3286,3286-F2,1633,F2,3286-F2-Zeta-F11
3287,3287-F2,1633,F2,3287-F2-Zeta-G11
3288,3288-F2,1633,F2,3288-F2-Zeta-H11
3289,3289-F2,1633,F2,3289-F2-Zeta-A12
3290,3290-F2,1633,F2,3290-F2-Zeta-B12
3291,3291-F2,1633,F2,3291-F2-Zeta-C12
3292,3292-F2,1633,F2,3292-F2-Zeta-D12
3293,3293-F2,1633,F2,3293-F2-Zeta-E12
3294,3294-F2,1633,F2,3294-F2-Zeta-F12
3295,3295-F2,1633,F2,3295-F2-Zeta-G12
3296,3296-F2,1633,F2,3296-F2-Zeta-H12
3297,3297-F2,1633,F2,3297-F2-Theta-A1
3298,3298-F2,1633,F2,3298-F2-Theta-B1
3299,3299-F2,1633,F2,3299-F2-Theta-C1
3300,3300-F2,1633,F2,3300-F2-Theta-D1
3301,3301-F2,1633,F2,3301-F2-Theta-E1
3302,3302-F2,1633,F2,3302-F2-Theta-F1
3303,3303-F2,1633,F2,3303-F2-Theta-G1
3304,3304-F2,1633,F2,3304-F2-Theta-H1
3305,3305-F2,1633,F2,3305-F2-Theta-A2
3306,3306-F2,1633,F2,3306-F2-Theta-B2
3307,3307-F2,1633,F2,3307-F2-Theta-C2
3308,3308-F2,1633,F2,3308-F2-Theta-D2
3309,3309-F2,1633,F2,3309-F2-Theta-E2
3310,3310-F2,1633,F2,3310-F2-Theta-F2
3311,3311-F2,1633,F2,3311-F2-Theta-G2
3312,3312-F2,1633,F2,3312-F2-Theta-H2
3313,3313-F2,1633,F2,3313-F2-Theta-A3
3314,3314-F2,1633,F2,3314-F2-Theta-B3
3315,3315-F2,1633,F2,3315-F2-Theta-C3
3316,3316-F2,1633,F2,3316-F2-Theta-D3
3317,3317-F2,1633,F2,3317-F2-Theta-E3
3318,3318-F2,1633,F2,3318-F2-Theta-F3
3319,3319-F2,1633,F2,3319-F2-Theta-G3
3320,3320-F2,1633,F2,3320-F2-Theta-H3
3321,3321-F2,1633,F2,3321-F2-Theta-A4
3322,3322-F2,1633,F2,3322-F2-Theta-B4
3323,3323-F2,1633,F2,3323-F2-Theta-C4
3324,3324-F2,1633,F2,3324-F2-Theta-D4
3325,3325-F2,1633,F2,3325-F2-Theta-E4
3326,3326-F2,1633,F2,3326-F2-Theta-F4
3327,3327-F2,1633,F2,3327-F2-Theta-G4
3328,3328-F2,1633,F2,3328-F2-Theta-H4
3329,3329-F2,1633,F2,3329-F2-Theta-A5
3330,3330-F2,1633,F2,3330-F2-Theta-B5
3331,3331-F2,1633,F2,3331-F2-Theta-C5
3332,3332-F2,1633,F2,3332-F2-Theta-D5
3333,3333-F2,1633,F2,3333-F2-Theta-E5
3334,3334-F2,1633,F2,3334-F2-Theta-F5
3335,3335-F2,1633,F2,3335-F2-Theta-G5
3336,3336-F2,1633,F2,3336-F2-Theta-H5
3337,3337-F2,1633,F2,3337-F2-Theta-A6
3338,3338-F2,1633,F2,3338-F2-Theta-B6
3339,3339-F2,1633,F2,3339-F2-Theta-C6
3340,3340-F2,1633,F2,3340-F2-Theta-D6
3341,3341-F2,1633,F2,3341-F2-Theta-E6
3342,3342-F2,1633,F2,3342-F2-Theta-F6
3343,3343-F2,1633,F2,3343-F2-Theta-G6
3344,3344-F2,1633,F2,3344-F2-Theta-H6
3345,3345-F2,1633,F2,3345-F2-Theta-A7
3346,3346-F2,1633,F2,3346-F2-Theta-B7
3347,3347-F2,1633,F2,3347-F2-Theta-C7
3348,3348-F2,1633,F2,3348-F2-Theta-D7
3349,3349-F2,1633,F2,3349-F2-Theta-E7
3350,3350-F2,1633,F2,3350-F2-Theta-F7
3351,3351-F2,1633,F2,3351-F2-Theta-G7
3352,3352-F2,1633,F2,3352-F2-Theta-H7
3353,3353-F2,1633,F2,3353-F2-Theta-A8
3354,3354-F2,1633,F2,3354-F2-Theta-B8
3355,3355-F2,1633,F2,3355-F2-Theta-C8
3356,3356-F2,1633,F2,3356-F2-Theta-D8
3357,3357-F2,1633,F2,3357-F2-Theta-E8
3358,3358-F2,1633,F2,3358-F2-Theta-F8
3359,3359-F2,1633,F2,3359-F2-Theta-G8
3360,3360-F2,1633,F2,3360-F2-Theta-H8
Cylindra,P2550-Cylindra-P1,1629,P,P2550-Cylindra-P1-Theta-A9
Mono,P2493-Mono-P2,1629,P,P2493-Mono-P2-Theta-B9
P1-OG-Mcgregor,P2484-OGMcGregor-P2,1592,P,P2484-OGMcGregor-P2-Theta-C9
P2-Program-Round1,P1983-Round1-P1,1592,P,P1983-Round1-P1-Theta-D9
Cylindra,P2619-Cylindra-P2,1633,P,P2619-Cylindra-P2-Theta-E9
Program Round 2,P1518-Round2-P1,1633,P,P1518-Round2-P1-Theta-F9
Blank-1,Blank-1,Blank-1,,Blank-1-Theta-G9
Blank-2,Blank-2,Blank-2,,Blank-2-Theta-H9
